Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,batch_size,epochs,train_time,test_time,params
cora_runen7a8lqg_GAE_hyperfrlrczp2,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,21.52652287483216,21.581406831741333,48000
cora_runen7a8lqg_GAE_hyperag2jcju1,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,22.85955572128296,22.91529369354248,48000
cora_runen7a8lqg_GAE_hyper0o35nvze,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,23.690998554229736,23.761103868484497,48000
cora_runen7a8lqg_GAE_hyperwhk9m3ry,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,7.828013181686401,7.915717124938965,48000
cora_runen7a8lqg_GAE_hypergdlzu2tz,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,9.449713945388794,9.523926973342896,48000
cora_runen7a8lqg_GAE_hyperoj3qyrqc,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,10.136569261550903,10.218942165374756,48000
cora_runen7a8lqg_GAE_hyper94otv2xk,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,10.34776520729065,10.40640640258789,48000
cora_runen7a8lqg_GAE_hyperdypbzoyj,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,10.000832557678224,10.081323385238647,48000
cora_runen7a8lqg_GAE_hypergsbw46pp,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,10.915821075439451,10.980530977249146,48000
cora_runen7a8lqg_GAE_hyperrlphl176,2.42,13.33,50.0,60.76,90.97,98.26,12.54,2.42,13.33,50.0,60.76,90.97,98.26,88.54,91.58,79.77,32,32,32,100,11.539549112319946,11.605236530303957,48000
