Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,out_channels,hidden_channels,base_lr,score_num_layers_predictor,score_gin_mlp_layer,score_hidden_channels,score_out_channels,score_num_layers,score_dropout,product,epochs,train_time,test_time,params
cora_runtjnqv6k9_GraphSage_hyper1xtk6zdq,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,18.551353216171265,18.657354593276978,47489
cora_runaoxwszg7_GraphSage_hyperw5csi9st,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,4.359436273574829,4.428426265716553,46928
cora_runaoxwszg7_GraphSage_hyper0exe0yir,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,5.847369194030762,5.9214417934417725,46928
cora_runaoxwszg7_GraphSage_hyperi9a1k5td,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,6.324923753738403,6.459066390991211,46928
cora_runtjnqv6k9_GraphSage_hyper77o2r65q,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,20.02752375602722,20.077398777008057,47489
cora_runaoxwszg7_GraphSage_hyperi113m8el,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,inner,20,7.049525022506714,7.121307373046875,46928
cora_runaoxwszg7_GraphSage_hyperyzozeuzq,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,dot,20,13.250656843185425,13.348818063735962,47489
cora_runtjnqv6k9_GraphSage_hyperlgq8o7zu,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,23.336323976516724,23.395116090774536,47489
cora_runtjnqv6k9_GraphSage_hyper14phm5ly,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,8.617705583572388,8.719176292419434,47489
cora_runaoxwszg7_GraphSage_hyperlq4y92k2,5.65,14.67,25.67,53.36,91.03,99.65,15.17,5.65,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,dot,20,14.43122935295105,14.498279809951782,47489
cora_runtjnqv6k9_GraphSage_hyperux2o4cid,15.52,25.59,26.41,62.62,98.29,100.0,20.17,15.52,25.59,26.41,62.62,98.29,100.0,92.8,93.73,86.87,16,16,0.015,3,2,16,1,3,0.1,dot,20,10.705703258514404,10.901803731918337,47489
cora_runaoxwszg7_GraphSage_hyperxwpbzyg1,0.48,14.67,25.67,53.36,91.03,99.65,15.17,0.48,14.67,25.67,53.36,91.03,99.65,91.82,88.87,86.6,16,16,0.015,3,2,16,1,3,0.1,dot,20,20.002086639404297,20.089665412902832,47489
