Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_runzjc6okpo_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.69,96.04,80.82,256,256,32,0.1,32,5,7,50
cora_runs7s40mqd_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.63,96.04,80.82,256,256,32,0.1,32,5,8,50
cora_run8gro3d70_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.63,96.04,80.82,256,256,32,0.1,32,10,6,50
cora_rund4ayy141_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.33,96.04,80.82,256,256,32,0.1,32,10,7,50
cora_runx8oofehn_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.13,96.04,80.82,256,256,32,0.1,32,10,8,50
cora_runrzkr1rak_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,92.13,96.04,80.82,256,256,32,0.1,32,20,6,50
cora_runbwtfx2go_GraphSage,50.51,63.3,71.52,79.56,89.33,95.48,56.81,50.51,63.3,71.52,79.56,89.33,95.48,91.79,96.04,80.82,256,256,32,0.1,32,20,7,50
cora_run8d45h9sn_GraphSage,31.28,38.33,60.62,70.75,80.97,89.04,41.28,31.28,38.33,60.62,70.75,80.97,89.04,91.49,93.63,77.81,256,256,32,0.01,32,40,6,50
cora_runyo4u2ggm_GraphSage,30.15,47.9,56.75,70.75,80.97,88.55,41.12,30.15,47.9,56.75,70.75,80.97,88.55,91.4,93.63,77.81,256,256,32,0.01,32,40,7,50
cora_runongj0jaq_GraphSage,30.15,45.61,56.75,70.75,80.97,88.55,41.12,30.15,45.61,56.75,70.75,80.97,88.55,91.82,93.71,80.35,256,256,32,0.01,32,40,8,50
cora_runno7sy9sr_GraphSage,20.75,41.86,65.13,79.14,92.94,96.95,33.87,20.75,41.86,65.13,79.14,92.94,96.95,93.17,95.15,81.43,256,256,32,0.1,32,5,6,50
cora_runougz84rd_GraphSage,30.15,59.62,71.33,77.12,88.97,94.38,57.26,30.15,59.62,71.33,77.12,88.97,94.38,91.82,95.89,82.16,256,256,32,0.01,64,5,6,50
cora_runb7jj7qze_GraphSage,55.99,59.62,71.33,77.12,86.23,94.38,57.26,55.99,59.62,71.33,77.12,86.23,94.38,91.82,95.89,81.88,256,256,32,0.01,64,5,7,50
