Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,acc,out_channels,hidden_channels,batch_size,lr,batch_size_sampler,num_neighbors,num_hops,epochs
cora_runmywywgk3_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,40,6,50
cora_runeetv684z_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,40,7,50
cora_runm2zezm6x_VGAE,13.22,24.51,49.16,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,64,40,8,50
cora_runpfpbu0cv_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,5,6,50
cora_runcci0zm9m_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,5,7,50
cora_runw0emomdp_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,5,8,50
cora_run0jqb1266_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,10,6,50
cora_runyx2tcxec_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,10,7,50
cora_runhsrjwtql_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,10,8,50
cora_run9rn79cg8_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,20,6,50
cora_run9mxgicab_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,20,7,50
cora_runblcdts1u_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,20,8,50
cora_runas7gb89d_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,30,6,50
cora_run9lvjvvii_VGAE,13.22,24.51,41.65,65.92,90.73,97.67,23.6,13.22,24.51,41.35,67.39,90.73,97.67,91.18,91.8,79.85,32,32,64,0.1,128,30,7,50
